electrode,x,y,z,type
C13,3.962499,0.17831,1.812862,ez
C14,4.100949,0.57258,1.995454,ez
C15,4.198444,0.867324,2.081577,ez
C16,4.302242,1.182725,2.166495,ez
C17,4.331316,1.475512,2.276254,ez
C18,4.436385,1.770917,2.359782,ez
C1,4.24621,3.075321,5.242317,pz
C2,4.204174,3.372997,5.165071,pz
C3,4.268334,3.681691,5.157468,pz
C4,4.251173,4.07154,5.181919,pz
C5,4.322492,4.387421,5.172174,pz
C6,4.292322,4.68237,5.196633,pz
C7,4.368369,5.091016,5.18965,pz
C8,4.346697,5.39207,5.211452,pz
C9,4.413306,5.795728,5.207505,pz
C10,4.400343,6.199419,5.231157,pz
C11,4.440647,6.577568,5.235123,pz
C12,4.460672,6.926661,5.244743,pz
C55,3.943293,3.233456,4.083482,pz
C74,2.615128,3.598591,3.395983,pz
C75,2.619082,3.588806,3.714572,pz
C76,2.617952,3.642142,4.095845,pz
C77,2.651185,3.642966,4.445078,pz
C78,2.624067,3.705964,4.749785,pz
C79,2.622189,3.70747,5.145637,pz
C80,2.623602,3.729245,5.495568,pz
C81,2.625014,3.751021,5.845498,pz
C82,2.626426,3.772797,6.195429,pz
C83,2.627839,3.794573,6.54536,pz
C84,2.642377,3.805654,6.892689,pz
C85,2.630663,3.838124,7.245221,pz
C86,2.634762,3.822944,7.534534,pz
C87,2.62034,3.878273,7.857322,pz
C88,2.576279,3.917455,8.298259,pz
C33,7.535974,1.638909,4.245139,niz
C34,7.523327,1.94442,4.264022,niz
C35,7.523747,2.328537,4.388053,niz
C36,7.508057,2.6553,4.409,niz
C37,7.480632,3.026897,4.436144,niz
C38,7.457274,3.334506,4.458841,niz
C100,1.23538,5.463162,2.691575,niz
C101,1.21985,5.767434,2.711399,niz
C102,1.246356,6.160532,2.826809,niz
C103,1.225414,6.463766,2.848461,niz
C111,3.435985,-5.658635,4.367223,niz
C112,3.557152,-5.860629,4.421566,niz
C113,3.654113,-6.657856,4.463095,niz
C114,3.714259,-7.001917,4.485552,niz
