zone,electrodes,h2,lag,nwd,wd
ez,C17-C18--C16-C17,"[0.02843038277674917, 0.025491780494266016, 0.02730524904919435, 0.02404144969150819, 0.02843707473046933, 0.021142826179043603, 0.016673141197549826, 0.016360705714632162, 0.013439835140376999, 0.011370147078554514, 0.021372827885148746, 0.016331302075486262, 0.01891151125362736, 0.017247694574592097, 0.03556489029614299, 0.02648313399092109, 0.022661320871160115, 0.09197729187817996, 0.07638744615960116, 0.06895261753037762, 0.06463087296267075, 0.05334197245729961, 0.025858937102265726, 0.024047241158648664, 0.026048329736465977, 0.027645614792900813, 0.02113123276763348, 0.02155996405606485, 0.035953051968051875, 0.023775222231444765, 0.019827417798006675, 0.01868627282555707, 0.02792005612914509, 0.020622703513915673, 0.03156807117850562]","[9.0, 9.0, 129.0, -50.0, 19.0, 126.0, 55.0, -41.0, -43.0, -42.0, 28.0, -41.0, 24.0, 87.0, 64.0, -38.0, -86.0, 14.0, 14.0, 14.0, 15.0, 15.0, -83.0, 76.0, 17.0, -43.0, 148.0, -46.0, -46.0, -58.0, -4.0, -58.0, -119.0, -119.0, 130.0]",-0.4857142857142857,-0.5567885947682673
ez,C17-C18--C15-C16,"[0.08416090045795907, 0.08489768941034094, 0.03178485047018159, 0.02836543123595884, 0.04729334257710624, 0.0338653289891005, 0.02439316374052168, 0.011675684982079753, 0.043736516562081156, 0.039597083083898504, 0.025499442684443072, 0.025808730814662457, 0.025681620186424843, 0.03331651734606759, 0.03508391809826807, 0.022068590878271913, 0.02085088235590141, 0.09262789017583789, 0.07817532798841899, 0.07089434766878068, 0.06810026096423512, 0.05563625219339167, 0.027711055105612045, 0.031250261291022534, 0.026323952937104846, 0.02199978067601749, 0.02489875892978754, 0.015233817091623159, 0.02203244880938481, 0.022378878312650532, 0.02575206583559736, 0.021960088536019964, 0.025218699841285542, 0.020143876465252075, 0.01990115101251528]","[-1.0, -1.0, -20.0, -79.0, -10.0, -9.0, 73.0, 142.0, -1.0, -1.0, -15.0, -64.0, -1.0, -82.0, -84.0, -148.0, -148.0, 14.0, 14.0, 14.0, 15.0, 15.0, 76.0, 76.0, 76.0, -53.0, 138.0, 123.0, -3.0, 4.0, 115.0, 89.0, 68.0, -119.0, 130.0]",-0.14285714285714285,-0.46968545475269097
ez,C17-C18--C13-C14,"[0.129805729650721, 0.11293844968026315, 0.07537527106567596, 0.06275898899284045, 0.05331451958257865, 0.054340326171469465, 0.03878129603135244, 0.051188621171291096, 0.11606542780710204, 0.10114915768408592, 0.12372462583468309, 0.12522203388567382, 0.0950143043292905, 0.09433466950353414, 0.06971348506662557, 0.05908229355286953, 0.043849246322073085, 0.05466405618453275, 0.053693258573081604, 0.0536642134252707, 0.07403687309229266, 0.0764958327141343, 0.08021778048191959, 0.0750867325850861, 0.0701559527882872, 0.044186948447943165, 0.03758430766974351, 0.03752733490719474, 0.03419333999419545, 0.03398828281927251, 0.02503046220564395, 0.05587331981196746, 0.04750011081353286, 0.03494642343309802, 0.03455987623552391]","[-26.0, -40.0, -54.0, -53.0, 5.0, 15.0, -57.0, -58.0, -45.0, -44.0, -15.0, -15.0, -16.0, 15.0, 15.0, -139.0, -63.0, -64.0, -140.0, 24.0, -37.0, 37.0, -39.0, -40.0, 124.0, -128.0, 10.0, 142.0, 143.0, 64.0, 102.0, 0.0, 1.0, 1.0, -148.0]",0.17142857142857143,0.1902167000268944
ez,C16-C17--C15-C16,"[0.9180304236663793, 0.9132721053232357, 0.9223398722725318, 0.9453540527895969, 0.9615144043974403, 0.9602278471307848, 0.9594131028493058, 0.9667573380092278, 0.9403036073595912, 0.9344131807541819, 0.912361049806129, 0.9134521037730646, 0.9075231818584236, 0.9266244475325108, 0.9301876224935927, 0.9550174717140217, 0.9553149591935249, 0.8737929745932229, 0.8739662460374147, 0.8773266424879625, 0.8796351206616364, 0.8805471710066483, 0.9156249609859416, 0.9302018138332623, 0.9267927447909161, 0.9286562140975113, 0.9319502866767329, 0.932308639087448, 0.9278467910379702, 0.9367622619496417, 0.9266285623748923, 0.9275066208585954, 0.9320316277096036, 0.9344379168178436, 0.9317952290192537]","[-10.0, -10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.05714285714285714,-1.0
ez,C16-C17--C13-C14,"[0.029171926536558913, 0.02023371648130296, 0.018511399521918548, 0.014591546461276035, 0.025802707573264232, 0.033603864155009995, 0.03655786752145613, 0.0508557992062001, 0.04055040005497165, 0.03418861978186101, 0.04536776928346788, 0.05132073719785745, 0.04115936809219237, 0.05345133771224585, 0.04841856961329895, 0.04384811981951408, 0.10331339147252798, 0.3332821108289979, 0.33867076116597095, 0.3419159874109445, 0.12836150722334289, 0.12622341877367685, 0.015181810837667438, 0.01669155926588064, 0.015518120216347455, 0.0306981911892477, 0.03835984696545341, 0.04015209577037759, 0.051006000096361734, 0.06011512042543564, 0.054620078219813954, 0.059486026531914656, 0.03788703451138902, 0.023305467240249095, 0.04316575361656409]","[84.0, 84.0, 5.0, 122.0, 121.0, -89.0, 141.0, -89.0, 11.0, 81.0, 123.0, 123.0, -123.0, 113.0, 112.0, 119.0, -147.0, 18.0, 18.0, 18.0, 18.0, 18.0, -137.0, 73.0, 130.0, -40.0, -63.0, 53.0, -77.0, 67.0, 94.0, 94.0, -58.0, 29.0, -118.0]",0.14285714285714285,0.4568211389677863
ez,C15-C16--C13-C14,"[0.04638521413678621, 0.04132446547978197, 0.0357734748310007, 0.028687632233122727, 0.030964369364264693, 0.05054410439067633, 0.05022606797340858, 0.05561518234190674, 0.09554066111887613, 0.09529152024742898, 0.08389582535613836, 0.0879853479254472, 0.08056339715941029, 0.04590094542266556, 0.04619981260437413, 0.03477549589464252, 0.10528667801623844, 0.32592439890100644, 0.3321630656923842, 0.33009813612812433, 0.11225459822585108, 0.10768578330370604, 0.030481737071431172, 0.03131568815626691, 0.025777858927455714, 0.03191723599403879, 0.031610377781784514, 0.037290005000595344, 0.051912532615721055, 0.056971410142680964, 0.03925856305262102, 0.058546399161087434, 0.03711417516289752, 0.02538304820553447, 0.04670471547970631]","[-64.0, -64.0, -5.0, -61.0, 111.0, -22.0, 69.0, -41.0, -15.0, -15.0, -16.0, -16.0, -16.0, -107.0, -108.0, 119.0, -147.0, 18.0, 18.0, 18.0, 18.0, 18.0, 72.0, -73.0, 72.0, -61.0, -62.0, -43.0, 106.0, 67.0, 44.0, -57.0, -69.0, -60.0, 42.0]",0.5428571428571428,0.6831049407460966
pz,C80-C81--C75-C76,"[0.05003537704217362, 0.06655401111837812, 0.03986771641980799, 0.06538257587214101, 0.09654064619717728, 0.10610736504256515, 0.10459136990815932, 0.12905348324890084, 0.08383369417758386, 0.060730609441673425, 0.05653502432864691, 0.0642089554546642, 0.06711540159905485, 0.04521786148498596, 0.06000373552703331, 0.05425937358643423, 0.04241743216950613, 0.040734704290388765, 0.0414491348921678, 0.18435127784356087, 0.4317179936163381, 0.027875608223152385, 0.06652442820833686, 0.04547824743773282, 0.04851927483977342, 0.03851539813994276, 0.03797907248723651, 0.024953861590282206, 0.033957445782637104, 0.043348117775621954, 0.0424368549342818, 0.044479720395876714, 0.049738819050240274, 0.04969827419290038, 0.0608159151231039]","[-146.0, 121.0, 134.0, -135.0, 135.0, -138.0, 50.0, 11.0, 29.0, -10.0, -10.0, 110.0, 110.0, -128.0, -148.0, -147.0, -128.0, -128.0, -129.0, -128.0, -128.0, -5.0, -4.0, 26.0, -4.0, 40.0, -39.0, -41.0, 75.0, -76.0, -76.0, -76.0, -123.0, -123.0, -63.0]",0.37142857142857144,0.47888628390906135
pz,C80-C81--C10-C11,"[0.04397501296630661, 0.052243288516176115, 0.06112945936360413, 0.09120317796233819, 0.08520302374667241, 0.09704294799156575, 0.13381760966239822, 0.1539094862071016, 0.10060048415334696, 0.07677877454348617, 0.04604460500873121, 0.03442936984322422, 0.04016628493435548, 0.03783649431542904, 0.06961267799349254, 0.06607267683255459, 0.07058826596594392, 0.08122984470240843, 0.06919409231065164, 0.060414528401438766, 0.03733689616638121, 0.05793386280314, 0.05948240337003365, 0.05468103232279935, 0.04624602714705875, 0.03427181124061414, 0.03789168366025612, 0.0401119629334834, 0.044345164144030766, 0.04059301517002661, 0.04244867859479714, 0.03809351416231438, 0.043856409434638484, 0.055006868939550695, 0.0415987666014225]","[-87.0, -142.0, 144.0, -77.0, -78.0, 8.0, 7.0, 7.0, 88.0, 37.0, 138.0, 137.0, -79.0, -20.0, 0.0, -1.0, 0.0, 0.0, 12.0, 46.0, -136.0, 20.0, 20.0, 20.0, 21.0, 4.0, -134.0, -49.0, -49.0, 132.0, 133.0, 133.0, 132.0, 116.0, -45.0]",-0.17142857142857143,-0.043318615104729494
pz,C80-C81--C5-C6,"[0.05783582406268845, 0.0640220088715179, 0.062367042150512204, 0.10702862775527705, 0.1377559472456022, 0.2469737030787737, 0.25609514298377145, 0.229260121855802, 0.21677834436083324, 0.19323903089755984, 0.06740135652881207, 0.1011542225882683, 0.06424214101611306, 0.047821613513547793, 0.07177243131430629, 0.07528550229815995, 0.08786838675098763, 0.10307865566406736, 0.06508426679508553, 0.06482136374769014, 0.04908667402149157, 0.0679252296654613, 0.09486043530848608, 0.0658981752073118, 0.0778535082981174, 0.058324604323111394, 0.06306216537395276, 0.06860336763217081, 0.06295590867499876, 0.05543212577898594, 0.06587081455784942, 0.0695852569330529, 0.07448751269428545, 0.05629247382851203, 0.04938734427297925]","[-10.0, -10.0, -2.0, 0.0, -1.0, -1.0, -1.0, 19.0, 2.0, 20.0, -23.0, 26.0, -42.0, -41.0, 4.0, 19.0, -19.0, 20.0, 20.0, -24.0, 8.0, 10.0, -12.0, -10.0, 12.0, 65.0, -80.0, -80.0, -11.0, -10.0, 5.0, 5.0, 3.0, 8.0, 77.0]",0.22857142857142856,-0.07630962206523627
pz,C75-C76--C10-C11,"[0.025626820834689208, 0.04118250557346468, 0.03084981827193876, 0.0510213407053405, 0.0684226940850389, 0.06240636997010889, 0.07838561120949598, 0.08330798888892312, 0.05412209556529753, 0.05276824382680864, 0.06420900224526574, 0.07098611312830655, 0.04814965542684858, 0.03613210146351435, 0.036079189332692614, 0.05348314154564432, 0.019341814875192372, 0.02042646930892835, 0.017231683238806833, 0.01398151063063186, 0.01057004422918206, 0.030295879278783282, 0.035026142928028775, 0.04163807048601206, 0.06044981669822383, 0.07652573479577357, 0.04085126004691768, 0.039334053678108424, 0.03304992013409145, 0.017015774568117537, 0.016242497955542043, 0.015258913270586356, 0.016617542830782924, 0.03632586474075265, 0.012057131647184235]","[105.0, 101.0, 100.0, 38.0, -1.0, -1.0, -1.0, 4.0, 4.0, 3.0, -135.0, -135.0, -135.0, 65.0, 64.0, 65.0, -72.0, -72.0, 147.0, -145.0, 29.0, 117.0, 117.0, 136.0, 138.0, 105.0, 104.0, -44.0, 101.0, -71.0, -71.0, -71.0, -73.0, 144.0, 142.0]",-0.3142857142857143,-0.3297314338163755
