zone,electrodes,h2,lag,nwd,wd
ez,C13-C14--C14-C15,"[0.17557234583543407, 0.24866362448728446, 0.2851335409481937, 0.24969434228683868, 0.3410758536023925, 0.3436409552116453, 0.30303682303207224, 0.21812645626036334, 0.36931270446558373, 0.4347033075846266, 0.07816150348649036]","[80.0, -30.0, 26.0, 26.0, 38.0, 43.0, -30.0, -97.0, -50.0, -57.0, 30.0]",-0.6363636363636364,-0.8334599700827132
ez,C13-C14--C15-C16,"[0.18435342762144835, 0.20320530716311813, 0.1657525527117498, 0.15363940953659758, 0.23109267932680633, 0.24191114292114052, 0.16014171644873287, 0.10542748447171979, 0.21663319718045393, 0.2485557170652218, 0.08820787689651059]","[0.0, 0.0, 20.0, 22.0, -40.0, -40.0, 22.0, 0.0, -60.0, -43.0, 0.0]",-0.6363636363636364,-1.0
ez,C13-C14--C16-C17,"[0.1392194342551997, 0.0576535904374152, 0.1763574977011941, 0.13166216939461178, 0.15986169093065847, 0.17831953955501376, 0.03465118729697339, 0.05013514051049147, 0.08692479778050684, 0.0747002952156299, 0.05760806789666482]","[-98.0, 30.0, -98.0, -4.0, -98.0, -98.0, 98.0, -89.0, -98.0, 10.0, -81.0]",0.09090909090909091,-0.04433805318360579
ez,C13-C14--C17-C18,"[0.14646040944065158, 0.3820937368776302, 0.5094845994215789, 0.5241533022320498, 0.5242683218589143, 0.4438708627516571, 0.3585419113824774, 0.27262085601258856, 0.4464896945708746, 0.3861918063781586, 0.2527840561610194]","[-82.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0, 3.0, 5.0, 11.0, -9.0]",0.09090909090909091,0.02773729870327648
ez,C14-C15--C15-C16,"[0.13635180797061514, 0.15011493377885055, 0.47717646063512625, 0.5794456138363683, 0.5944509498932298, 0.6086083020221906, 0.5296297735615807, 0.5112800716526678, 0.5209763475844483, 0.4372277075170742, 0.2797354699717158]","[-8.0, 8.0, 4.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 10.0]",1.0,1.0
ez,C14-C15--C16-C17,"[0.060734775001423574, 0.09242884687594717, 0.1721347757257203, 0.17684630108175356, 0.2564806128542927, 0.25610654693095486, 0.10333342792280599, 0.12008724389100822, 0.1625695896659005, 0.11338531756589969, 0.19509231461451454]","[-86.0, 98.0, 91.0, -73.0, -89.0, -89.0, -92.0, -50.0, -70.0, -90.0, 50.0]",-0.6363636363636364,-0.7006469380807083
ez,C14-C15--C17-C18,"[0.5986652083820642, 0.38552131399906325, 0.3410830011825753, 0.3149175012696036, 0.44378649810589654, 0.4318229504371038, 0.28947159967747965, 0.3472436727603274, 0.3435361598766339, 0.3312971044415287, 0.24268244317457766]","[37.0, -6.0, 27.0, 28.0, 34.0, 32.0, -6.0, 31.0, 55.0, 57.0, -1.0]",1.0,1.0
ez,C15-C16--C16-C17,"[0.84248713980263, 0.6968278726905155, 0.5609419398520472, 0.5229534624744706, 0.6181924265975343, 0.5967118545384871, 0.5348120546483177, 0.6192268794718366, 0.6352228324375461, 0.6649911542690817, 0.858959846059109]","[0.0, -20.0, 80.0, 80.0, -80.0, -80.0, -80.0, 40.0, 60.0, -60.0, 0.0]",-0.6363636363636364,-0.7442777412701437
ez,C15-C16--C17-C18,"[0.1554611473008987, 0.11973091370951873, 0.19344263752119192, 0.15655948925727167, 0.25173592712966714, 0.2562990009238287, 0.1503665597613513, 0.16710860406161515, 0.16716791900616437, 0.11012661373970188, 0.14267872740128765]","[-14.0, -7.0, 43.0, 26.0, 36.0, 36.0, 27.0, 32.0, 59.0, -81.0, -15.0]",0.6363636363636364,0.7057835408255335
ez,C16-C17--C17-C18,"[0.12650550230996083, 0.05342200029475771, 0.15053289234791523, 0.13192616568689786, 0.17563795878795962, 0.1517225407387814, 0.053613885784433185, 0.04444834250336852, 0.0631112137890955, 0.0795311535534974, 0.0711652514941124]","[-46.0, 54.0, 2.0, 1.0, -3.0, -1.0, -10.0, -9.0, -12.0, -5.0, 89.0]",-0.2727272727272727,-0.21360055348517196
pz,C2-C3--C5-C6,"[0.055720613134314693, 0.15196202189879404, 0.28644221992290164, 0.04691593336705609, 0.04613636062372098, 0.08028684988119968, 0.06512886581528633, 0.07555471065897262, 0.3389535445142526, 0.1126963912582989, 0.0795869532546766]","[-66.0, -58.0, -49.0, -33.0, -74.0, -98.0, -35.0, 8.0, 3.0, 51.0, 10.0]",0.09090909090909091,0.12321343933051895
pz,C2-C3--C11-C12,"[0.061874452991054686, 0.42842944088470464, 0.16660697788826218, 0.08263910020290656, 0.11711711571088346, 0.08789888534608939, 0.41008675867409905, 0.0782731545205839, 0.44992248383861805, 0.13930039366396385, 0.09264132839944651]","[-98.0, -2.0, 3.0, -45.0, 30.0, -49.0, -98.0, -10.0, -97.0, 7.0, -72.0]",-0.2727272727272727,-0.212109751184049
pz,C2-C3--C74-C75,"[0.2592067715741948, 0.11029237176138222, 0.2662067604023056, 0.07275046850554932, 0.04458835645001547, 0.11081784610782718, 0.10153153181841451, 0.06861687804029173, 0.15812108131968086, 0.02594974407403601, 0.05261328918008168]","[88.0, 98.0, 2.0, 31.0, -97.0, 29.0, 7.0, 98.0, 21.0, -57.0, -82.0]",0.2727272727272727,0.691661896976214
pz,C2-C3--C80-C81,"[0.2519661212438145, 0.08701052297947647, 0.0819977634475549, 0.031417417917869055, 0.04001911314440191, 0.16930740613156386, 0.11071243878053348, 0.14939201337950597, 0.26195744542630744, 0.12036173895665918, 0.1542083778229712]","[-8.0, -8.0, 70.0, 49.0, 68.0, -25.0, 70.0, -97.0, 98.0, -18.0, -77.0]",-0.09090909090909091,-0.22775173907275625
pz,C5-C6--C11-C12,"[0.37959631784620823, 0.37501207825454336, 0.4880731581094643, 0.27991842605457157, 0.15188352377648892, 0.3114388052031645, 0.41594630034375607, 0.490068026511525, 0.5944166304843822, 0.39240143013857803, 0.18916205973770486]","[98.0, -6.0, 47.0, 98.0, 98.0, 98.0, 97.0, 98.0, 97.0, 98.0, -18.0]",0.6363636363636364,0.7226225747632297
pz,C5-C6--C74-C75,"[0.11277548250941172, 0.2215205236717834, 0.4393911846494661, 0.16087081857763655, 0.14520943745027623, 0.09748723341550734, 0.1490024151647314, 0.13857403625740208, 0.08913238793842591, 0.13682641883837185, 0.13407356014063815]","[98.0, 98.0, -12.0, -98.0, 69.0, 98.0, 98.0, 98.0, -98.0, 45.0, 48.0]",0.09090909090909091,0.32226117802194953
pz,C5-C6--C80-C81,"[0.046904401398872135, 0.06722755188322438, 0.3077830591098643, 0.03888943491969165, 0.03996168538785273, 0.032735599384607024, 0.24840297805047323, 0.5371393952466887, 0.5323498818673117, 0.34207707865485987, 0.20911729679584787]","[98.0, 11.0, 74.0, -53.0, 98.0, 98.0, -98.0, -57.0, -63.0, -98.0, -96.0]",-0.45454545454545453,-0.8953166312974804
pz,C11-C12--C74-C75,"[0.1883122583139214, 0.27583694196329, 0.3571001514164842, 0.22577515865360737, 0.25366031746658146, 0.19293316122652882, 0.24994985955265017, 0.38731756308146637, 0.27794774208194317, 0.19920718005170274, 0.3364447198370485]","[98.0, 87.0, 98.0, 98.0, -19.0, -98.0, 31.0, 98.0, 97.0, -98.0, -91.0]",0.09090909090909091,0.009323024056656535
pz,C11-C12--C80-C81,"[0.11985697688359549, 0.12302301419258, 0.3549741603062492, 0.1174913618296357, 0.2546036589873067, 0.19539896902301737, 0.5344963742292429, 0.7511312638603297, 0.8241416738565167, 0.6924463565277641, 0.6346644398635793]","[-4.0, -60.0, 98.0, -14.0, -91.0, 98.0, -67.0, 58.0, -98.0, 98.0, 98.0]",0.2727272727272727,0.3505877157603781
pz,C74-C75--C80-C81,"[0.21858264911365424, 0.06400632370920216, 0.21188209802521585, 0.08656904835536772, 0.10210532537917526, 0.10207075896761371, 0.25139512375624357, 0.7188830609521614, 0.19819384269282292, 0.1170705748676774, 0.3383114971790706]","[79.0, 24.0, 70.0, 10.0, -92.0, 11.0, 78.0, -27.0, 87.0, 86.0, 36.0]",-0.45454545454545453,-0.45846418863605254
niz,C33-C34--C35-C36,"[0.032626717834709405, 0.017189527617140262, 0.09670806912790285, 0.0706672639866504, 0.07164336778803522, 0.10136352378781856, 0.06363419104165656, 0.13004323399051654, 0.21550732576205048, 0.05755548453302353, 0.05619168167988098]","[-97.0, 97.0, 30.0, 67.0, -98.0, 98.0, -45.0, 87.0, -95.0, -97.0, -97.0]",-0.09090909090909091,-0.38491638530452843
niz,C33-C34--C37-C38,"[0.055780537102309125, 0.07689014073995037, 0.1528991742554673, 0.11795744071335738, 0.05209543001515804, 0.05657523839240419, 0.11916617889454985, 0.11291649141321666, 0.12391385163162416, 0.055992218732520894, 0.01711575624998018]","[-40.0, 35.0, 60.0, -56.0, 11.0, 11.0, -98.0, 42.0, -36.0, -80.0, 30.0]",-0.45454545454545453,-0.5801459040819678
niz,C33-C34--C101-C102,"[0.11925589923625657, 0.06968511142812134, 0.059333092036539574, 0.11578435823918562, 0.13041341952790184, 0.096887191016391, 0.06278342659964303, 0.06769165132192885, 0.09725883563069962, 0.07731011407402465, 0.05148852130220343]","[-60.0, -6.0, -78.0, 83.0, 75.0, 3.0, 69.0, 28.0, -98.0, -98.0, 20.0]",0.09090909090909091,0.16001643879284394
niz,C33-C34--C113-C114,"[0.1075883526843785, 0.04731616460126967, 0.02847866750986045, 0.01560690248463136, 0.025083224839130582, 0.016855757170740043, 0.04495762543793559, 0.012965089190329834, 0.048230157184484694, 0.02046798297805944, 0.016067867923452855]","[-98.0, 96.0, 20.0, 37.0, 59.0, 69.0, -10.0, 75.0, 93.0, -95.0, 17.0]",-0.45454545454545453,-0.4122182267499787
niz,C35-C36--C37-C38,"[0.10419318625040135, 0.0711039326221242, 0.09795095794140543, 0.2049177471068426, 0.09680677646936199, 0.1405949859600974, 0.04230873092717085, 0.08402348914039391, 0.08298750857660327, 0.14769795722391518, 0.18795530981275801]","[0.0, 5.0, 2.0, 7.0, 13.0, -97.0, -5.0, 33.0, -86.0, -1.0, -97.0]",0.0,-0.019904869108283887
niz,C35-C36--C101-C102,"[0.0704659557960192, 0.08287007148152131, 0.4197760055688054, 0.14339968306690204, 0.04817145750961782, 0.06242454725492428, 0.016184887737680422, 0.06832057710979803, 0.0739709322814775, 0.14904521246504285, 0.095885608233086]","[95.0, -91.0, -87.0, 96.0, 3.0, -56.0, -45.0, 50.0, 98.0, 96.0, 91.0]",-0.2727272727272727,-0.25778864346063396
niz,C35-C36--C113-C114,"[0.10412595862419158, 0.1118736791229875, 0.5436662148859399, 0.1420521984452175, 0.2999745178691353, 0.06810347114687516, 0.04522044602440919, 0.053563058068009886, 0.1498769166669798, 0.030597343398521732, 0.2066051846612001]","[-82.0, 98.0, -35.0, -91.0, -94.0, 83.0, -78.0, 43.0, -90.0, -94.0, -97.0]",0.09090909090909091,0.07193919332408644
